track_name,track_uri,rank,track_name1,first_artist,second_artist,year,track_name2,track_uri1,track_match,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri2,duration_ms,time_signature,key_mode
Paparazzi,16Me2jlMlTX4xsps2j71mC,64,Paparazzi,"Lady Gaga
",NA,2010,NA,NA,TRUE,0.755,0.688,G#,-3.97,major,0.0535,0.0947,0,0.0852,0.429,114.928,16Me2jlMlTX4xsps2j71mC,208307,4,G# major
Tie Me Down feat Ray J,4faiJXyBflUVVOOE9fxbeg,65,Tie Me Down,New Boyz ," Ray J
",2010,NA,NA,TRUE,0.42,0.787,G#,-4.467,major,0.294,0.0104,0,0.198,0.38,97.967,4faiJXyBflUVVOOE9fxbeg,178808,4,G# major
Your Love,3bGxiCPouq52ZtI8ybMCX5,66,Your Love,"Nicki Minaj
",NA,2010,NA,NA,TRUE,0.466,0.521,B,-10.233,major,0.267,0.00234,0.00362,0.425,0.222,104.667,3bGxiCPouq52ZtI8ybMCX5,245253,4,B major
Party In The USA,5Q0Nhxo0l2bP3pNjpGJwV1,67,Party in the USA,"Miley Cyrus
",NA,2010,NA,NA,TRUE,0.454,0.708,A#,-4.526,minor,0.0675,0.00124,1.81e-4,0.0679,0.483,192.18,5Q0Nhxo0l2bP3pNjpGJwV1,202067,4,A# minor
Deuces,3QkXEz9TxApuk1JpDmeWnS,68,Deuces,Chris Brown ," Tyga and Kevin McCall
",2010,NA,NA,TRUE,0.644,0.739,C#,-5.103,major,0.137,0.0311,0,0.0772,0.231,74.154,3QkXEz9TxApuk1JpDmeWnS,277013,4,C# major
3,2d7fRuDlFZfKIoSuf8bhGv,69,3,"Britney Spears
",NA,2010,NA,NA,TRUE,0.701,0.72,F,-1.948,minor,0.0475,0.0518,0,0.199,0.761,134.962,2d7fRuDlFZfKIoSuf8bhGv,205533,4,F minor
Impossible  Main,45EDI3rk0f4cAMt9f8b56R,70,Impossible,"Shontelle
",NA,2010,NA,NA,TRUE,0.596,0.64,G#,-3.52,major,0.0335,0.381,0,0.118,0.559,90.015,45EDI3rk0f4cAMt9f8b56R,226533,4,G# major
Forever,6HSqyfGnsHYw9MmIpa9zlZ,71,Forever,Drake ," Kanye West, Lil Wayne and Eminem
",2010,NA,NA,TRUE,0.544,0.92,F,-1.474,minor,0.277,0.244,0,0.19,0.519,105.307,6HSqyfGnsHYw9MmIpa9zlZ,357347,5,F minor
Two Is Better Than One,1MaqkdFNIKPdpQGDzme5ss,72,Two Is Better Than One,Boys Like Girls ," Taylor Swift
",2010,NA,NA,TRUE,0.521,0.702,C,-5.189,major,0.0331,0.189,0,0.0962,0.25,127.976,1MaqkdFNIKPdpQGDzme5ss,242840,4,C major
My First Kiss  feat Keha,17tDv8WA8IhqE8qzuQn707,73,My First Kiss,3OH!3 ," Kesha
",2010,NA,NA,TRUE,0.682,0.889,C,-4.166,major,0.0804,0.00564,0,0.36,0.827,138.021,17tDv8WA8IhqE8qzuQn707,192440,4,C major
Already Gone,7ceIquYtiTYlgSSm7PqUf9,74,Already Gone,"Kelly Clarkson
",NA,2010,NA,NA,TRUE,0.209,0.872,A,-2.996,major,0.0757,0.217,0,0.0768,0.294,78.139,7ceIquYtiTYlgSSm7PqUf9,281560,4,A major
Rock That Body,5K5LbSTVuKKe1KGMNfBgIW,75,Rock That Body,"The Black Eyed Peas
",NA,2010,NA,NA,TRUE,0.713,0.898,D,-6.009,minor,0.111,0.0197,2.62e-5,0.435,0.858,124.976,5K5LbSTVuKKe1KGMNfBgIW,268840,4,D minor
Secrets,1NhPKVLsHhFUHIOZ32QnS2,76,Secrets,"OneRepublic
",NA,2010,NA,NA,TRUE,0.515,0.767,D,-6.199,major,0.0352,0.098,0,0.121,0.38,148.024,1NhPKVLsHhFUHIOZ32QnS2,224693,4,D major
Naturally,1YaVmBh7EAeR54FIjuFcb5,77,Naturally,"Selena Gomez & the Scene
",NA,2010,NA,NA,TRUE,0.629,0.906,A#,-5.393,minor,0.0583,0.0211,1.17e-6,0.0551,0.847,132.64,1YaVmBh7EAeR54FIjuFcb5,202587,4,A# minor
Unthinkable Im Ready,4JOP8ELK6AaeySe7sKe996,78,UnThinkable Im Ready,"Alicia Keys
",NA,2010,NA,NA,TRUE,0.595,0.507,G,-7.892,major,0.0618,0.732,1.97e-5,0.106,0.337,86.099,4JOP8ELK6AaeySe7sKe996,249240,4,G major
All I Do Is Win  Feat TPain Ludacris Snoop Dogg  Rick Ross,0RIHDrcRAXtUlnkvTYPW1a,79,All I Do Is Win,DJ Khaled ," T-Pain, Ludacris, Snoop Dogg and Rick Ross
",2010,NA,NA,TRUE,0.55,0.779,C,-3.841,major,0.211,0.0135,0,0.333,0.315,150.069,0RIHDrcRAXtUlnkvTYPW1a,230281,4,C major
I Made It Cash Money Heroes,6H2wnX7ytNeCKERIVqCwgs,80,I Made It Cash Money Heroes,Kevin Rudolf ," Birdman, Jay Sean and Lil Wayne
",2010,NA,NA,TRUE,0.4,0.944,G,-2.902,major,0.184,0.0481,0,0.345,0.574,124.224,6H2wnX7ytNeCKERIVqCwgs,249547,5,G major
Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,81,Stuck Like Glue,"Sugarland
",NA,2010,NA,NA,TRUE,0.62,0.799,C#,-4.702,major,0.0996,0.322,0,0.0565,0.804,168.024,0JcKdUGNR7zI4jJDLyYXbi,247587,4,C# major
Hey Daddy Daddys Home,030OCtLMrljNhp8OWHBWW3,82,Hey Daddy Daddys Home,Usher ," Plies
",2010,NA,NA,TRUE,0.59,0.698,B,-4.262,major,0.0286,1.76e-4,0,0.107,0.352,95.975,030OCtLMrljNhp8OWHBWW3,224093,4,B major
There Goes My Baby,6IUiqtI8tE49sqGbmtrNd8,83,There Goes My Baby,"Usher
",NA,2010,NA,NA,TRUE,0.626,0.52,A,-8.077,minor,0.0892,0.175,0,0.13,0.257,77.468,6IUiqtI8tE49sqGbmtrNd8,281293,4,A minor
